"date","rf_m"
1980-01-31,0.00948879293458305
1980-02-29,0.0109862418493558
1980-03-31,0.0111560457494917
1980-04-30,0.00827146812164026
1980-05-30,0.00623968146128573
1980-06-30,0.00634079428314327
1980-07-31,0.00691424096811555
1980-08-29,0.00794359066602013
1980-09-30,0.00906720559213881
1980-10-31,0.010020536204457
1980-11-28,0.0113328986422458
1980-12-31,0.01120029087907
1981-01-30,0.0114138426617332
1981-02-27,0.0111412926392207
1981-03-31,0.00983365379207646
1981-04-30,0.0116122218611896
1981-05-29,0.011788200392395
1981-06-30,0.0111855448686224
1981-07-31,0.0116195610266743
1981-08-31,0.0120953550286347
1981-09-30,0.0112297758056967
1981-10-30,0.0100504021224228
1981-11-30,0.00825624398896552
1981-12-31,0.00879515848010115
1982-01-29,0.00987854027624446
1982-02-26,0.00981868675231201
1982-03-31,0.0104303436136475
1982-04-30,0.00974381492823251
1982-05-31,0.00974381492823251
1982-06-30,0.0100578670843259
1982-07-30,0.00810386341882507
1982-08-31,0.00675960937821252
1982-09-30,0.00613845675128299
1982-10-29,0.0063563401874609
1982-11-30,0.00665121161099069
1982-12-31,0.0063718834505917
1983-01-31,0.00651165411998789
1983-02-28,0.00637965409200558
1983-03-31,0.00692968976937047
1983-04-29,0.00649613458538378
1983-05-31,0.00692196569465198
1983-06-30,0.0070454727500886
1983-07-29,0.007376574762189
1983-08-31,0.0074073141725286
1983-09-30,0.00698374005114633
1983-10-31,0.00682922592329716
1983-11-30,0.00711487231568264
1983-12-30,0.00718421931609936
1984-01-31,0.00712258013223943
1984-02-29,0.00731506497012568
1984-03-30,0.00776007787788058
1984-04-30,0.00776007787788058
1984-05-31,0.00778303708787997
1984-06-29,0.00791303071447902
1984-07-31,0.00827907923985505
1984-08-31,0.00845396076629146
1984-09-28,0.00814198231941221
1984-10-31,0.0072150233541628
1984-11-30,0.00677508429827878
1984-12-31,0.00631747047238851
1985-01-31,0.00647285034675704
1985-02-28,0.00682149336596227
1985-03-29,0.00657370594944462
1985-04-30,0.00631747047238851
1985-05-31,0.00576373044953726
1985-06-28,0.00552090097618474
1985-07-31,0.00587318432814454
1985-08-30,0.00576373044953726
1985-09-30,0.00568546881040177
1985-10-31,0.00580283616274535
1985-11-29,0.00577937474189216
1985-12-31,0.00569329798959539
1986-01-31,0.0056306457752604
1986-02-28,0.00566980844038811
1986-03-31,0.00513575317407766
1986-04-30,0.00494651544880598
1986-05-30,0.00510424075845384
1986-06-30,0.00483594549017563
1986-07-31,0.00470150179126794
1986-08-29,0.00420949367822132
1986-09-30,0.00423336165926491
1986-10-31,0.00423336165926491
1986-11-28,0.00438438080939196
1986-12-31,0.00460648106881201
1987-01-30,0.00455100662487395
1987-02-27,0.00443201921894132
1987-03-31,0.00455893360884607
1987-04-30,0.00449549846225961
1987-05-29,0.00461440323932605
1987-06-30,0.00465400378731795
1987-07-31,0.00492283314968378
1987-08-31,0.00506483494977084
1987-09-30,0.00534817821529887
1987-10-30,0.0042890293603306
1987-11-30,0.00424131626645829
1987-12-31,0.00461440323932605
1988-01-29,0.0045827104331948
1988-02-29,0.00456685990480721
1988-03-31,0.0046381656285388
1988-04-29,0.00485174939458877
1988-05-31,0.00520661640040099
1988-06-30,0.00530887747933861
1988-07-29,0.00561497601064742
1988-08-31,0.00588880990679441
1988-09-30,0.00584974095264568
1988-10-31,0.00593567062915912
1988-11-30,0.00630191796099688
1988-12-30,0.00651165411998789
1989-01-31,0.00673639209102284
1989-02-28,0.00698374005114633
1989-03-31,0.00713028729995768
1989-04-28,0.00675187093687701
1989-05-31,0.00690651558964572
1989-06-30,0.00642626408574443
1989-07-31,0.00627858423522731
1989-08-31,0.00634856756550906
1989-09-29,0.00636411214911603
1989-10-31,0.00625524455621695
1989-11-30,0.00611508128602845
1989-12-29,0.00608390470319842
1990-01-31,0.00623189892078946
1990-02-28,0.00625524455621695
1990-03-30,0.00627858423522731
1990-04-30,0.0062708050038518
1990-05-31,0.00623968146128573
1990-06-29,0.00623189892078946
1990-07-31,0.00603711989394307
1990-08-31,0.0059590919885959
1990-09-28,0.00576373044953726
1990-10-31,0.00574025899093167
1990-11-30,0.00566980844038811
1990-12-31,0.0052144867011501
1991-01-31,0.00501752553502888
1991-02-28,0.00489914470982766
1991-03-29,0.00489914470982766
1991-04-30,0.00447963278800168
1991-05-31,0.00449549846225961
1991-06-28,0.00450343026580891
1991-07-31,0.00449549846225961
1991-08-30,0.00433671753224085
1991-09-30,0.00416173898717154
1991-10-31,0.00393057179731993
1991-11-29,0.00355467354781003
1991-12-31,0.00317722009866994
1992-01-31,0.00314502415751705
1992-02-28,0.00321744904794241
1992-03-31,0.00331392618979987
1992-04-30,0.00303224876461483
1992-05-29,0.00303224876461483
1992-06-30,0.00292740371999511
1992-07-31,0.00261214320223191
1992-08-31,0.00259594656806805
1992-09-30,0.00221449464783308
1992-10-30,0.00243382172225304
1992-11-30,0.00268499246095599
1992-12-31,0.00253113123390492
1993-01-29,0.00238512797392709
1993-02-26,0.00242570790419649
1993-03-31,0.00237700981893352
1993-04-30,0.00239324540576136
1993-05-31,0.00239324540576136
1993-06-30,0.00249059823032027
1993-07-30,0.00249059823032027
1993-08-31,0.00247437997994449
1993-09-30,0.00240136211457065
1993-10-29,0.00249059823032027
1993-11-30,0.00257974705522401
1993-12-31,0.00247437997994449
1994-01-31,0.00243382172225304
1994-02-28,0.00275778354533185
1994-03-31,0.00285474799877417
1994-04-29,0.00316917217891932
1994-05-31,0.00340227401267779
1994-06-30,0.0033942459274463
1994-07-29,0.00349053635075025
1994-08-31,0.00372281948566644
1994-09-30,0.00381077242235262
1994-10-31,0.0040980271803599
1994-11-30,0.00451929180637456
1994-12-30,0.00449549846225961
1995-01-31,0.00473315341019109
1995-02-28,0.00467775587693264
1995-03-31,0.00463024551906477
1995-04-28,0.00462232472270219
1995-05-31,0.00457478551288171
1995-06-30,0.00442408120978199
1995-07-31,0.00440820312092116
1995-08-31,0.00430492818539663
1995-09-29,0.00426517593034159
1995-10-31,0.00432877123312592
1995-11-30,0.00432877123312592
1995-12-29,0.00404224284774379
1996-01-31,0.00400237601238951
1996-02-29,0.00398642440128016
1996-03-29,0.00407412378364835
1996-04-30,0.00408209227807532
1996-05-31,0.00410599358847086
1996-06-28,0.00410599358847086
1996-07-31,0.00421745036527299
1996-08-30,0.00419357822337552
1996-09-30,0.00400237601238951
1996-10-31,0.0040980271803599
1996-11-29,0.00407412378364835
1996-12-31,0.0041298886422021
1997-01-31,0.00409006007693691
1997-02-28,0.00414581520378898
1997-03-31,0.00424131626645829
1997-04-30,0.00418561945532825
1997-05-30,0.00393057179731993
1997-06-30,0.00412192431926517
1997-07-31,0.00416173898717154
1997-08-29,0.00415377744269252
1997-09-30,0.00401832483615117
1997-10-31,0.0041298886422021
1997-11-28,0.00413785227033436
1997-12-31,0.00424927018061783
1998-01-30,0.00412192431926517
1998-02-27,0.00421745036527299
1998-03-31,0.00409006007693691
1998-04-30,0.00397047000180417
1998-05-29,0.00398642440128016
1998-06-30,0.00405021412570328
1998-07-31,0.00405021412570328
1998-08-31,0.00389065614323014
1998-09-30,0.00348251602971761
1998-10-30,0.00345845083497665
